file,true_label,composite_suspicion_score,predicted_flag
authentic_000.jpg,0,0.4242,0
authentic_001.jpg,0,0.35,0
authentic_002.jpg,0,0.5047,1
authentic_003.jpg,0,0.6754,1
authentic_004.jpg,0,0.4753,1
authentic_005.jpg,0,0.4931,1
authentic_006.jpg,0,0.4496,0
authentic_007.jpg,0,0.4863,1
authentic_008.jpg,0,0.5157,1
authentic_009.jpg,0,0.4702,1
authentic_010.jpg,0,0.4932,1
authentic_011.jpg,0,0.35,0
authentic_012.jpg,0,0.6376,1
authentic_013.jpg,0,0.4159,0
authentic_014.jpg,0,0.4567,1
authentic_015.jpg,0,0.5859,1
authentic_016.jpg,0,0.3731,0
authentic_017.jpg,0,0.5894,1
authentic_018.jpg,0,0.35,0
authentic_019.jpg,0,0.5553,1
authentic_020.jpg,0,0.4705,1
authentic_021.jpg,0,0.55,1
authentic_022.jpg,0,0.4789,1
authentic_023.jpg,0,0.35,0
authentic_024.jpg,0,0.5253,1
authentic_025.jpg,0,0.419,0
authentic_026.jpg,0,0.4846,1
authentic_027.jpg,0,0.3992,0
authentic_028.jpg,0,0.376,0
authentic_029.jpg,0,0.6353,1
authentic_030.jpg,0,0.35,0
authentic_031.jpg,0,0.5413,1
authentic_032.jpg,0,0.365,0
authentic_033.jpg,0,0.4428,0
authentic_034.jpg,0,0.3746,0
authentic_035.jpg,0,0.426,0
authentic_036.jpg,0,0.642,1
authentic_037.jpg,0,0.3657,0
authentic_038.jpg,0,0.4993,1
authentic_039.jpg,0,0.4754,1
tampered_splice_000.jpg,1,0.5133,1
tampered_copy_move_001.jpg,1,0.5356,1
tampered_splice_002.jpg,1,0.7695,1
tampered_copy_move_003.jpg,1,0.4937,1
tampered_splice_004.jpg,1,0.6282,1
tampered_copy_move_005.jpg,1,0.5805,1
tampered_splice_006.jpg,1,0.7093,1
tampered_copy_move_007.jpg,1,0.5459,1
tampered_splice_008.jpg,1,0.3802,0
tampered_copy_move_009.jpg,1,0.5136,1
tampered_splice_010.jpg,1,0.5509,1
tampered_copy_move_011.jpg,1,0.7019,1
tampered_splice_012.jpg,1,0.4277,0
tampered_copy_move_013.jpg,1,0.3927,0
tampered_splice_014.jpg,1,0.5034,1
tampered_copy_move_015.jpg,1,0.4273,0
tampered_splice_016.jpg,1,0.4545,1
tampered_copy_move_017.jpg,1,0.6053,1
tampered_splice_018.jpg,1,0.403,0
tampered_copy_move_019.jpg,1,0.3957,0
tampered_splice_020.jpg,1,0.4317,0
tampered_copy_move_021.jpg,1,0.35,0
tampered_splice_022.jpg,1,0.7893,1
tampered_copy_move_023.jpg,1,0.5478,1
tampered_splice_024.jpg,1,0.4546,1
tampered_copy_move_025.jpg,1,0.6489,1
tampered_splice_026.jpg,1,0.7235,1
tampered_copy_move_027.jpg,1,0.5215,1
tampered_splice_028.jpg,1,0.4346,0
tampered_copy_move_029.jpg,1,0.35,0
tampered_splice_030.jpg,1,0.5955,1
tampered_copy_move_031.jpg,1,0.5534,1
tampered_splice_032.jpg,1,0.5247,1
tampered_copy_move_033.jpg,1,0.6452,1
tampered_splice_034.jpg,1,0.4823,1
tampered_copy_move_035.jpg,1,0.429,0
tampered_splice_036.jpg,1,0.5893,1
tampered_copy_move_037.jpg,1,0.4329,0
tampered_splice_038.jpg,1,0.5666,1
tampered_copy_move_039.jpg,1,0.5401,1
